"Id","pool","stat_type","stat_name","value","show_value","grade","weight","enabled"
"99","mid","cri","暴击率","0.01","1%","A","1500","1"
"100","mid","cri","暴击率","0.006","0.6%","B","2000","1"
"101","mid","cri","暴击率","0.004","0.4%","C","2000","1"
"102","mid","cri","暴击率","0.002","0.2%","D","0","1"
"103","mid","cridmg","暴击伤害","0.05","5%","SS","15","1"
"104","mid","cridmg","暴击伤害","0.03","3%","S","150","1"
"105","mid","cridmg","暴击伤害","0.02","2%","A","750","1"
"106","mid","cridmg","暴击伤害","0.01","1%","B","1000","1"
"107","mid","cridmg","暴击伤害","0.005","0.5%","C","1000","1"
"108","mid","cridmg","暴击伤害","0.002","0.2%","D","0","1"
"109","mid","atk","攻击力","40","40","SS","30","1"
"110","mid","atk","攻击力","30","30","S","300","1"
"111","mid","atk","攻击力","20","20","A","1500","1"
"112","mid","atk","攻击力","15","15","B","2000","1"
"113","mid","atk","攻击力","10","10","C","2000","1"
"114","mid","atk","攻击力","5","5","D","0","1"
"115","mid","magic","魔法攻击力","40","40","SS","30","1"
"116","mid","magic","魔法攻击力","30","30","S","300","1"
"117","mid","magic","魔法攻击力","20","20","A","1500","1"
"118","mid","magic","魔法攻击力","15","15","B","2000","1"
"119","mid","magic","魔法攻击力","10","10","C","2000","1"
"120","mid","magic","魔法攻击力","5","5","D","0","1"
"121","mid","equipstr","装备力量","0.12","12%","SS","5","1"
"122","mid","equipstr","装备力量","0.09","9%","S","3000","1"
"123","mid","equipstr","装备力量","0.07","7%","A","20000","1"
"124","mid","equipstr","装备力量","0.06","6%","B","70000","1"
"125","mid","equipstr","装备力量","0.04","4%","C","50000","1"
"126","mid","equipstr","装备力量","0.03","3%","D","100000","1"
"127","mid","equipdex","装备敏捷","0.12","12%","SS","5","1"
"128","mid","equipdex","装备敏捷","0.09","9%","S","3000","1"
"129","mid","equipdex","装备敏捷","0.07","7%","A","5000","1"
"130","mid","equipdex","装备敏捷","0.06","6%","B","70000","1"
"131","mid","equipdex","装备敏捷","0.04","4%","C","50000","1"
"132","mid","equipdex","装备敏捷","0.03","3%","D","100000","1"
"133","mid","equipint","装备智力","0.12","12%","SS","300","1"
"134","mid","equipint","装备智力","0.09","9%","S","3000","1"
"135","mid","equipint","装备智力","0.07","7%","A","5000","1"
"136","mid","equipint","装备智力","0.06","6%","B","70000","1"
"137","mid","equipint","装备智力","0.04","4%","C","50000","1"
"138","mid","equipint","装备智力","0.03","3%","D","100000","1"
"139","mid","equipluk","装备运气","0.12","12%","SS","5","1"
"140","mid","equipluk","装备运气","0.09","9%","S","3000","1"
"141","mid","equipluk","装备运气","0.07","7%","A","5000","1"
"142","mid","equipluk","装备运气","0.06","6%","B","70000","1"
"143","mid","equipluk","装备运气","0.04","4%","C","50000","1"
"144","mid","equipluk","装备运气","0.03","3%","D","100000","1"
"145","mid","equipatk","装备攻击力","0.12","12%","SS","5","1"
"146","mid","equipatk","装备攻击力","0.09","9%","S","300","1"
"147","mid","equipatk","装备攻击力","0.07","7%","A","1500","1"
"148","mid","equipatk","装备攻击力","0.06","6%","B","2000","1"
"149","mid","equipatk","装备攻击力","0.04","4%","C","2000","1"
"150","mid","equipatk","装备攻击力","0.03","3%","D","100000","1"
"151","mid","equipmagic","装备魔法攻击力","0.12","12%","SS","5","1"
"152","mid","equipmagic","装备魔法攻击力","0.09","9%","S","300","1"
"153","mid","equipmagic","装备魔法攻击力","0.07","7%","A","1500","1"
"154","mid","equipmagic","装备魔法攻击力","0.06","6%","B","2000","1"
"155","mid","equipmagic","装备魔法攻击力","0.04","4%","C","2000","1"
"156","mid","equipmagic","装备魔法攻击力","0.03","3%","D","100000","1"
"157","mid","fashionstr","时装力量","0.12","12%","SS","5","1"
"158","mid","fashionstr","时装力量","0.09","9%","S","3000","1"
"159","mid","fashionstr","时装力量","0.07","7%","A","5000","1"
"160","mid","fashionstr","时装力量","0.06","6%","B","70000","1"
"161","mid","fashionstr","时装力量","0.04","4%","C","50000","1"
"162","mid","fashionstr","时装力量","0.03","3%","D","100000","1"
"163","mid","fashiondex","时装敏捷","0.12","12%","SS","5","1"
"164","mid","fashiondex","时装敏捷","0.09","9%","S","3000","1"
"165","mid","fashiondex","时装敏捷","0.07","7%","A","5000","1"
"166","mid","fashiondex","时装敏捷","0.06","6%","B","70000","1"
"167","mid","fashiondex","时装敏捷","0.04","4%","C","50000","1"
"168","mid","fashiondex","时装敏捷","0.03","3%","D","100000","1"
"169","mid","fashionint","时装智力","0.12","12%","SS","300","1"
"170","mid","fashionint","时装智力","0.09","9%","S","3000","1"
"171","mid","fashionint","时装智力","0.07","7%","A","5000","1"
"172","mid","fashionint","时装智力","0.06","6%","B","70000","1"
"173","mid","fashionint","时装智力","0.04","4%","C","50000","1"
"174","mid","fashionint","时装智力","0.03","3%","D","100000","1"
"175","mid","fashionluk","时装运气","0.12","12%","SS","5","1"
"176","mid","fashionluk","时装运气","0.09","9%","S","3000","1"
"177","mid","fashionluk","时装运气","0.07","7%","A","5000","1"
"178","mid","fashionluk","时装运气","0.06","6%","B","70000","1"
"179","mid","fashionluk","时装运气","0.04","4%","C","50000","1"
"180","mid","fashionluk","时装运气","0.03","3%","D","100000","1"
"181","mid","fashionatk","时装攻击力","0.12","12%","SS","5","1"
"182","mid","fashionatk","时装攻击力","0.09","9%","S","300","1"
"183","mid","fashionatk","时装攻击力","0.07","7%","A","1500","1"
"184","mid","fashionatk","时装攻击力","0.06","6%","B","2000","1"
"185","mid","fashionatk","时装攻击力","0.04","4%","C","2000","1"
"186","mid","fashionatk","时装攻击力","0.03","3%","D","5000","1"
"187","mid","fashionmagic","时装魔法攻击力","0.12","12%","SS","5","1"
"188","mid","fashionmagic","时装魔法攻击力","0.09","9%","S","300","1"
"189","mid","fashionmagic","时装魔法攻击力","0.07","7%","A","1500","1"
"190","mid","fashionmagic","时装魔法攻击力","0.06","6%","B","2000","1"
"191","mid","fashionmagic","时装魔法攻击力","0.04","4%","C","2000","1"
"192","mid","fashionmagic","时装魔法攻击力","0.03","3%","D","5000","1"
"193","high","str","力量","40","40","SS","0","1"
"194","high","str","力量","30","30","S","0","1"
"195","high","str","力量","20","20","A","0","1"
"196","high","str","力量","15","15","B","0","1"
"197","high","str","力量","10","10","C","0","1"
"198","high","str","力量","5","5","D","0","1"
"199","high","dex","敏捷","40","40","SS","0","1"
"200","high","dex","敏捷","30","30","S","0","1"
"201","high","dex","敏捷","20","20","A","0","1"
"202","high","dex","敏捷","15","15","B","0","1"
"203","high","dex","敏捷","10","10","C","0","1"
"204","high","dex","敏捷","5","5","D","0","1"
"205","high","int","智力","40","40","SS","0","1"
"206","high","int","智力","30","30","S","0","1"
"207","high","int","智力","20","20","A","0","1"
"208","high","int","智力","15","15","B","0","1"
"209","high","int","智力","10","10","C","0","1"
"210","high","int","智力","5","5","D","0","1"
"211","high","luk","运气","40","40","SS","0","1"
"212","high","luk","运气","30","30","S","0","1"
"213","high","luk","运气","20","20","A","0","1"
"214","high","luk","运气","15","15","B","0","1"
"215","high","luk","运气","10","10","C","0","1"
"216","high","luk","运气","5","5","D","0","1"
"217","high","acc","命中","40","40","SS","0","1"
"218","high","acc","命中","30","30","S","0","1"
"219","high","acc","命中","20","20","A","0","1"
"220","high","acc","命中","15","15","B","0","1"
"221","high","acc","命中","10","10","C","0","1"
"222","high","acc","命中","5","5","D","0","1"
"223","high","eva","回避","40","40","SS","0","1"
"224","high","eva","回避","30","30","S","0","1"
"225","high","eva","回避","20","20","A","0","1"
"226","high","eva","回避","15","15","B","0","1"
"227","high","eva","回避","10","10","C","0","1"
"228","high","eva","回避","5","5","D","0","1"
"229","high","move","移速","0.4","0.4","SS","0","1"
"230","high","move","移速","0.3","0.3","S","0","1"
"231","high","move","移速","0.25","0.25","A","0","1"
"232","high","move","移速","0.2","0.2","B","0","1"
"233","high","move","移速","0.15","0.15","C","0","1"
"234","high","move","移速","0.1","0.1","D","0","1"
"235","high","cri","暴击率","0.03","3%","SS","30","1"
"236","high","cri","暴击率","0.02","2%","S","300","1"
"237","high","cri","暴击率","0.01","1%","A","3000","1"
"238","high","cri","暴击率","0.006","0.6%","B","0","1"
"239","high","cri","暴击率","0.004","0.4%","C","0","1"
"240","high","cri","暴击率","0.002","0.2%","D","0","1"
"241","high","cridmg","暴击伤害","0.05","5%","SS","15","1"
"242","high","cridmg","暴击伤害","0.03","3%","S","150","1"
"243","high","cridmg","暴击伤害","0.02","2%","A","1500","1"
"244","high","cridmg","暴击伤害","0.01","1%","B","0","1"
"245","high","cridmg","暴击伤害","0.005","0.5%","C","0","1"
"246","high","cridmg","暴击伤害","0.002","0.2%","D","0","1"
"247","high","atk","攻击力","40","40","SS","300","1"
"248","high","atk","攻击力","30","30","S","3000","1"
"249","high","atk","攻击力","20","20","A","30000","1"
"250","high","atk","攻击力","15","15","B","0","1"
"251","high","atk","攻击力","10","10","C","0","1"
"252","high","atk","攻击力","5","5","D","0","1"
"253","high","magic","魔法攻击力","40","40","SS","300","1"
"254","high","magic","魔法攻击力","30","30","S","3000","1"
"255","high","magic","魔法攻击力","20","20","A","30000","1"
"256","high","magic","魔法攻击力","15","15","B","0","1"
"257","high","magic","魔法攻击力","10","10","C","0","1"
"258","high","magic","魔法攻击力","5","5","D","0","1"
"259","high","equipstr","装备力量","0.12","12%","SS","300","1"
"260","high","equipstr","装备力量","0.09","9%","S","3000","1"
"261","high","equipstr","装备力量","0.07","7%","A","30000","1"
"262","high","equipstr","装备力量","0.06","6%","B","0","1"
"263","high","equipstr","装备力量","0.04","4%","C","0","1"
"264","high","equipstr","装备力量","0.03","3%","D","0","1"
"265","high","equipdex","装备敏捷","0.12","12%","SS","300","1"
"266","high","equipdex","装备敏捷","0.09","9%","S","3000","1"
"267","high","equipdex","装备敏捷","0.07","7%","A","30000","1"
"268","high","equipdex","装备敏捷","0.06","6%","B","0","1"
"269","high","equipdex","装备敏捷","0.04","4%","C","0","1"
"270","high","equipdex","装备敏捷","0.03","3%","D","0","1"
"271","high","equipint","装备智力","0.12","12%","SS","300","1"
"272","high","equipint","装备智力","0.09","9%","S","3000","1"
"273","high","equipint","装备智力","0.07","7%","A","30000","1"
"274","high","equipint","装备智力","0.06","6%","B","0","1"
"275","high","equipint","装备智力","0.04","4%","C","0","1"
"276","high","equipint","装备智力","0.03","3%","D","0","1"
"277","high","equipluk","装备运气","0.12","12%","SS","300","1"
"278","high","equipluk","装备运气","0.09","9%","S","3000","1"
"279","high","equipluk","装备运气","0.07","7%","A","30000","1"
"280","high","equipluk","装备运气","0.06","6%","B","0","1"
"281","high","equipluk","装备运气","0.04","4%","C","0","1"
"282","high","equipluk","装备运气","0.03","3%","D","0","1"
"283","high","equipatk","装备攻击力","0.12","12%","SS","30","1"
"284","high","equipatk","装备攻击力","0.09","9%","S","300","1"
"285","high","equipatk","装备攻击力","0.07","7%","A","30000","1"
"286","high","equipatk","装备攻击力","0.06","6%","B","0","1"
"287","high","equipatk","装备攻击力","0.04","4%","C","0","1"
"288","high","equipatk","装备攻击力","0.03","3%","D","0","1"
"289","high","equipmagic","装备魔法攻击力","0.12","12%","SS","30","1"
"290","high","equipmagic","装备魔法攻击力","0.09","9%","S","300","1"
"291","high","equipmagic","装备魔法攻击力","0.07","7%","A","30000","1"
"292","high","equipmagic","装备魔法攻击力","0.06","6%","B","0","1"
"293","high","equipmagic","装备魔法攻击力","0.04","4%","C","0","1"
"294","high","equipmagic","装备魔法攻击力","0.03","3%","D","0","1"
"295","high","fashionstr","时装力量","0.12","12%","SS","300","1"
"296","high","fashionstr","时装力量","0.09","9%","S","3000","1"
"297","high","fashionstr","时装力量","0.07","7%","A","30000","1"
"298","high","fashionstr","时装力量","0.06","6%","B","0","1"
"299","high","fashionstr","时装力量","0.04","4%","C","0","1"
"300","high","fashionstr","时装力量","0.03","3%","D","0","1"
"301","high","fashiondex","时装敏捷","0.12","12%","SS","300","1"
"302","high","fashiondex","时装敏捷","0.09","9%","S","3000","1"
"303","high","fashiondex","时装敏捷","0.07","7%","A","30000","1"
"304","high","fashiondex","时装敏捷","0.06","6%","B","0","1"
"305","high","fashiondex","时装敏捷","0.04","4%","C","0","1"
"306","high","fashiondex","时装敏捷","0.03","3%","D","0","1"
"307","high","fashionint","时装智力","0.12","12%","SS","300","1"
"308","high","fashionint","时装智力","0.09","9%","S","3000","1"
"309","high","fashionint","时装智力","0.07","7%","A","30000","1"
"310","high","fashionint","时装智力","0.06","6%","B","0","1"
"311","high","fashionint","时装智力","0.04","4%","C","0","1"
"312","high","fashionint","时装智力","0.03","3%","D","0","1"
"313","high","fashionluk","时装运气","0.12","12%","SS","300","1"
"314","high","fashionluk","时装运气","0.09","9%","S","3000","1"
"315","high","fashionluk","时装运气","0.07","7%","A","30000","1"
"316","high","fashionluk","时装运气","0.06","6%","B","0","1"
"317","high","fashionluk","时装运气","0.04","4%","C","0","1"
"318","high","fashionluk","时装运气","0.03","3%","D","0","1"
"319","high","fashionatk","时装攻击力","0.12","12%","SS","30","1"
"320","high","fashionatk","时装攻击力","0.09","9%","S","300","1"
"321","high","fashionatk","时装攻击力","0.07","7%","A","3000","1"
"322","high","fashionatk","时装攻击力","0.06","6%","B","0","1"
"323","high","fashionatk","时装攻击力","0.04","4%","C","0","1"
"324","high","fashionatk","时装攻击力","0.03","3%","D","0","1"
"325","high","fashionmagic","时装魔法攻击力","0.12","12%","SS","30","1"
"326","high","fashionmagic","时装魔法攻击力","0.09","9%","S","300","1"
"327","high","fashionmagic","时装魔法攻击力","0.07","7%","A","3000","1"
"328","high","fashionmagic","时装魔法攻击力","0.06","6%","B","0","1"
"329","high","fashionmagic","时装魔法攻击力","0.04","4%","C","0","1"
"330","high","fashionmagic","时装魔法攻击力","0.03","3%","D","0","1"
"331","low","atk","攻击力","40","40","SS","0","1"
"332","low","atk","攻击力","30","30","S","0","1"
"333","low","atk","攻击力","20","20","A","0","1"
"334","low","atk","攻击力","15","15","B","0","1"
"335","low","atk","攻击力","10","10","C","0","1"
"336","low","atk","攻击力","5","5","D","0","1"
"337","low","magic","魔法攻击力","40","40","SS","0","1"
"338","low","magic","魔法攻击力","30","30","S","0","1"
"339","low","magic","魔法攻击力","20","20","A","0","1"
"340","low","magic","魔法攻击力","15","15","B","0","1"
"341","low","magic","魔法攻击力","10","10","C","0","1"
"342","low","magic","魔法攻击力","5","5","D","0","1"
"343","low","equipstr","装备力量","0.12","12%","SS","0","1"
"344","low","equipstr","装备力量","0.09","9%","S","0","1"
"345","low","equipstr","装备力量","0.07","7%","A","0","1"
"346","low","equipstr","装备力量","0.06","6%","B","0","1"
"347","low","equipstr","装备力量","0.04","4%","C","0","1"
"348","low","equipstr","装备力量","0.03","3%","D","0","1"
"349","low","equipdex","装备敏捷","0.12","12%","SS","0","1"
"350","low","equipdex","装备敏捷","0.09","9%","S","0","1"
"351","low","equipdex","装备敏捷","0.07","7%","A","0","1"
"352","low","equipdex","装备敏捷","0.06","6%","B","0","1"
"353","low","equipdex","装备敏捷","0.04","4%","C","0","1"
"354","low","equipdex","装备敏捷","0.03","3%","D","0","1"
"355","low","equipint","装备智力","0.12","12%","SS","0","1"
"356","low","equipint","装备智力","0.09","9%","S","0","1"
"357","low","equipint","装备智力","0.07","7%","A","0","1"
"358","low","equipint","装备智力","0.06","6%","B","0","1"
"359","low","equipint","装备智力","0.04","4%","C","0","1"
"360","low","equipint","装备智力","0.03","3%","D","0","1"
"361","low","equipluk","装备运气","0.12","12%","SS","0","1"
"362","low","equipluk","装备运气","0.09","9%","S","0","1"
"363","low","equipluk","装备运气","0.07","7%","A","0","1"
"364","low","equipluk","装备运气","0.06","6%","B","0","1"
"365","low","equipluk","装备运气","0.04","4%","C","0","1"
"366","low","equipluk","装备运气","0.03","3%","D","0","1"
"367","low","equipatk","装备攻击力","0.12","12%","SS","0","1"
"368","low","equipatk","装备攻击力","0.09","9%","S","0","1"
"369","low","equipatk","装备攻击力","0.07","7%","A","0","1"
"370","low","equipatk","装备攻击力","0.06","6%","B","0","1"
"371","low","equipatk","装备攻击力","0.04","4%","C","0","1"
"372","low","equipatk","装备攻击力","0.03","3%","D","0","1"
"373","low","equipmagic","装备魔法攻击力","0.12","12%","SS","0","1"
"374","low","equipmagic","装备魔法攻击力","0.09","9%","S","0","1"
"375","low","equipmagic","装备魔法攻击力","0.07","7%","A","0","1"
"376","low","equipmagic","装备魔法攻击力","0.06","6%","B","0","1"
"377","low","equipmagic","装备魔法攻击力","0.04","4%","C","0","1"
"378","low","equipmagic","装备魔法攻击力","0.03","3%","D","0","1"
"379","low","fashionstr","时装力量","0.12","12%","SS","0","1"
"380","low","fashionstr","时装力量","0.09","9%","S","0","1"
"381","low","fashionstr","时装力量","0.07","7%","A","0","1"
"382","low","fashionstr","时装力量","0.06","6%","B","0","1"
"383","low","fashionstr","时装力量","0.04","4%","C","0","1"
"384","low","fashionstr","时装力量","0.03","3%","D","0","1"
"385","low","fashiondex","时装敏捷","0.12","12%","SS","0","1"
"386","low","fashiondex","时装敏捷","0.09","9%","S","0","1"
"387","low","fashiondex","时装敏捷","0.07","7%","A","0","1"
"388","low","fashiondex","时装敏捷","0.06","6%","B","0","1"
"389","low","fashiondex","时装敏捷","0.04","4%","C","0","1"
"390","low","fashiondex","时装敏捷","0.03","3%","D","0","1"
"391","low","fashionint","时装智力","0.12","12%","SS","0","1"
"392","low","fashionint","时装智力","0.09","9%","S","0","1"
"393","low","fashionint","时装智力","0.07","7%","A","0","1"
"394","low","fashionint","时装智力","0.06","6%","B","0","1"
"395","low","fashionint","时装智力","0.04","4%","C","0","1"
"396","low","fashionint","时装智力","0.03","3%","D","0","1"
"397","low","fashionluk","时装运气","0.12","12%","SS","0","1"
"398","low","fashionluk","时装运气","0.09","9%","S","0","1"
"399","low","fashionluk","时装运气","0.07","7%","A","0","1"
"400","low","fashionluk","时装运气","0.06","6%","B","0","1"
"401","low","fashionluk","时装运气","0.04","4%","C","0","1"
"402","low","fashionluk","时装运气","0.03","3%","D","0","1"
"403","low","fashionatk","时装攻击力","0.12","12%","SS","0","1"
"404","low","fashionatk","时装攻击力","0.09","9%","S","0","1"
"405","low","fashionatk","时装攻击力","0.07","7%","A","0","1"
"406","low","fashionatk","时装攻击力","0.06","6%","B","0","1"
"407","low","fashionatk","时装攻击力","0.04","4%","C","0","1"
"408","low","fashionatk","时装攻击力","0.03","3%","D","0","1"
"409","low","fashionmagic","时装魔法攻击力","0.12","12%","SS","0","1"
"410","low","fashionmagic","时装魔法攻击力","0.09","9%","S","0","1"
"411","low","fashionmagic","时装魔法攻击力","0.07","7%","A","0","1"
"412","low","fashionmagic","时装魔法攻击力","0.06","6%","B","0","1"
"413","low","fashionmagic","时装魔法攻击力","0.04","4%","C","0","1"
"414","low","fashionmagic","时装魔法攻击力","0.03","3%","D","0","1"
